total_sold_items_num,total_sold_items_price,month
2,98,NULL
41,6783.12,2016-10
77,17457.63,2017-1
279,35726,2017-2
483,67784.57,2017-3
445,57264.19,2017-4
775,105469.79,2017-5
615,78678.63,2017-6
735,91815.36,2017-7
801,118407.57,2017-8
841,155911.34,2017-9
1005,174461.11,2017-10
1602,221244.01,2017-11
1215,157400.8,2017-12
1803,200780.32,2018-1
2070,197134.38,2018-2
1860,235127.76,2018-3
1593,200822.46,2018-4
1674,224905.23,2018-5
1367,189248.06,2018-6
1369,188500.67,2018-7
1327,178542.54,2018-8
